Date,Fixing Close,Close
30/12/2016,-0.731921,11189.01148
29/12/2016,-0.736292,11189.24033
28/12/2016,-0.735499,11189.46894
27/12/2016,-0.741108,11189.69929
23/12/2016,-0.736531,11190.6151
22/12/2016,-0.738752,11190.84474
21/12/2016,-0.733432,11191.07274
20/12/2016,-0.734678,11191.30113
19/12/2016,-0.735596,11191.52981
16/12/2016,-0.736398,11192.21663
15/12/2016,-0.737918,11192.44605
14/12/2016,-0.733924,11192.67424
13/12/2016,-0.737156,11192.90343
12/12/2016,-0.734171,11193.1317
09/12/2016,-0.738587,11193.82067
08/12/2016,-0.726979,11194.04672
07/12/2016,-0.733081,11194.27467
06/12/2016,-0.735443,11194.50336
05/12/2016,-0.732456,11194.73113
02/12/2016,-0.722467,11195.40516
01/12/2016,-0.734961,11195.63372
30/11/2016,-0.728146,11195.86017
29/11/2016,-0.732175,11196.08788
28/11/2016,-0.738019,11196.31741
25/11/2016,-0.733979,11197.00227
24/11/2016,-0.732033,11197.22996
23/11/2016,-0.735128,11197.45862
22/11/2016,-0.733427,11197.68675
21/11/2016,-0.73302,11197.91475
18/11/2016,-0.733394,11198.59917
17/11/2016,-0.732743,11198.82711
16/11/2016,-0.733983,11199.05544
15/11/2016,-0.737191,11199.28477
14/11/2016,-0.736279,11199.51383
11/11/2016,-0.742816,11200.20714
10/11/2016,-0.737914,11200.43672
09/11/2016,-0.735979,11200.6657
08/11/2016,-0.738916,11200.89561
07/11/2016,-0.741578,11201.12634
04/11/2016,-0.740111,11201.81723
03/11/2016,-0.741218,11202.04787
02/11/2016,-0.738753,11202.27775
01/11/2016,-0.741296,11202.50843
31/10/2016,-0.729412,11202.73541
28/10/2016,-0.738843,11203.42521
27/10/2016,-0.736242,11203.65434
26/10/2016,-0.742497,11203.88542
25/10/2016,-0.741311,11204.11613
24/10/2016,-0.740894,11204.34672
21/10/2016,-0.734249,11205.03233
20/10/2016,-0.734711,11205.26101
19/10/2016,-0.734955,11205.48978
18/10/2016,-0.736625,11205.71907
17/10/2016,-0.740331,11205.94951
14/10/2016,-0.743012,11206.6434
13/10/2016,-0.74384,11206.87496
12/10/2016,-0.743315,11207.10636
11/10/2016,-0.740519,11207.3369
10/10/2016,-0.740595,11207.56746
07/10/2016,-0.738937,11208.25764
06/10/2016,-0.739644,11208.48793
05/10/2016,-0.736483,11208.71723
