Selections
Start Date: 2022-04-28
End Date: 2026-05-28
Selected benchmarks: Compounded ZARONIA
Report Data: Rates
Date,1-week average,1-month average,3-month average,6-month average,9-month average,12-month average,Index
2026-01-20,6.60493,6.61739,6.74498,6.91085,7.12153,7.29904,127.572005983746
2026-01-19,6.60436,6.61672,6.75284,6.91128,7.12212,7.30671,127.548938845518
2026-01-16,6.59749,6.61680,6.75626,6.91727,7.12617,7.31085,127.479701650846
2026-01-15,6.59578,6.61615,6.75901,6.92009,7.12908,7.31385,127.456654694107
2026-01-14,6.59506,6.61865,6.76186,6.92293,7.13201,7.31684,127.433636338919
2026-01-13,6.59492,6.61820,6.76464,6.93034,7.13948,7.31983,127.410615160645
2026-01-12,6.59478,6.61768,6.77207,6.93089,7.14016,7.32756,127.387591162319
2026-01-09,6.60164,6.61835,6.77644,6.93723,7.14675,7.33195,127.318608893566
2026-01-08,6.60583,6.61861,6.77932,6.94013,7.14970,7.33496,127.295632903715
2026-01-07,6.60719,6.62094,6.78215,6.94304,7.15266,7.33797,127.272661060124
2026-01-06,6.60805,6.62058,6.78499,6.95030,7.16002,7.34096,127.249672448066
2026-01-05,6.60862,6.62018,6.79201,6.95096,7.16077,7.34853,127.226681018258
2026-01-02,6.60176,6.61920,6.79629,6.95718,7.16727,7.35290,127.157618754308
2025-12-31,6.59759,6.62040,6.80184,6.96289,7.17307,7.35889,127.111593909784
2025-12-30,6.59716,6.61984,6.80283,6.96361,7.18032,7.36189,127.088613502959
2025-12-29,6.59573,6.61928,6.80568,6.97082,7.18112,7.36942,127.065637250744
2025-12-24,6.60807,6.62110,6.82241,6.98126,7.19381,7.38019,126.950964010102
2025-12-23,6.60809,6.62355,6.82365,6.98414,7.20298,7.38321,126.928023073987
2025-12-22,6.60948,6.62344,6.82657,6.99107,7.20390,7.39071,126.905110617029
2025-12-19,6.60862,6.63856,6.83454,6.99545,7.20845,7.39526,126.836160395260
2025-12-18,6.60876,6.64680,6.83735,6.99829,7.21134,7.39826,126.813222836433
2025-12-17,6.60776,6.65498,6.84011,7.00113,7.21423,7.40125,126.790282479570
2025-12-15,6.60664,6.67955,6.84579,7.01063,7.22216,7.41164,126.744453074319
2025-12-12,6.60579,6.69646,6.85433,7.01526,7.22880,7.41633,126.675610953254
2025-12-11,6.60493,6.70447,6.85714,7.01812,7.23169,7.41933,126.652698959522
2025-12-10,6.60478,6.71275,6.86000,7.02101,7.23460,7.42234,126.629811922008
2025-12-09,6.60536,6.73131,6.86286,7.02393,7.24147,7.42537,126.606942892570
2025-12-08,6.60593,6.73446,6.86572,7.03040,7.24250,7.43255,126.584067590931
2025-12-05,6.60464,6.75352,6.87383,7.03529,7.24925,7.43735,126.515333370089
2025-12-04,6.60621,6.76204,6.87668,7.03815,7.25216,7.44035,126.492471155508
2025-12-03,6.60736,6.77065,6.87952,7.04103,7.25507,7.44336,126.469616536585
2025-12-02,6.60936,6.77541,6.88235,7.04392,7.25616,7.44638,126.446762583359
2025-12-01,6.61022,6.78045,6.88517,7.04508,7.25726,7.44736,126.423902370875
2025-11-28,6.61408,6.81527,6.89511,7.06014,7.26594,7.45838,126.355286257754
2025-11-27,6.64883,6.82325,6.89785,7.06437,7.26886,7.46137,126.332414898915
2025-11-26,6.68416,6.83634,6.90063,7.06861,7.27180,7.46437,126.309561519619
2025-11-25,6.71805,6.84214,6.90328,7.07874,7.27471,7.46737,126.286688059489
